DATE,Real GDP per capita
1/1/1985,32941
4/1/1985,33161
7/1/1985,33581
10/1/1985,33746
1/1/1986,33994
4/1/1986,34075
7/1/1986,34316
10/1/1986,34418
1/1/1987,34607
4/1/1987,34907
7/1/1987,35123
10/1/1987,35638
1/1/1988,35751
4/1/1988,36145
7/1/1988,36262
10/1/1988,36654
1/1/1989,36953
4/1/1989,37151
7/1/1989,37323
10/1/1989,37295
1/1/1990,37617
4/1/1990,37636
7/1/1990,37529
10/1/1990,37056
1/1/1991,36769
4/1/1991,36938
7/1/1991,36993
10/1/1991,36995
1/1/1992,37328
4/1/1992,37607
7/1/1992,37839
10/1/1992,38102
1/1/1993,38053
4/1/1993,38158
7/1/1993,38210
10/1/1993,38606
1/1/1994,38876
4/1/1994,39288
7/1/1994,39390
10/1/1994,39720
1/1/1995,39754
4/1/1995,39760
7/1/1995,39969
10/1/1995,40117
1/1/1996,40317
4/1/1996,40873
7/1/1996,41106
10/1/1996,41401
1/1/1997,41558
4/1/1997,42128
7/1/1997,42514
10/1/1997,42745
1/1/1998,43062
4/1/1998,43342
7/1/1998,43748
10/1/1998,44321
1/1/1999,44627
4/1/1999,44876
7/1/1999,45326
10/1/1999,45932
1/1/2000,45983
4/1/2000,46704
7/1/2000,46624
10/1/2000,46777
1/1/2001,46519
4/1/2001,46698
7/1/2001,46390
10/1/2001,46400
1/1/2002,46683
4/1/2002,46866
7/1/2002,46936
10/1/2002,46883
1/1/2003,47027
4/1/2003,47342
7/1/2003,48012
10/1/2003,48450
1/1/2004,48633
4/1/2004,48905
7/1/2004,49243
10/1/2004,49623
1/1/2005,50068
4/1/2005,50204
7/1/2005,50470
10/1/2005,50629
1/1/2006,51200
4/1/2006,51210
7/1/2006,51155
10/1/2006,51455
1/1/2007,51492
4/1/2007,51705
7/1/2007,51882
10/1/2007,52066
1/1/2008,51740
4/1/2008,51923
7/1/2008,51523
10/1/2008,50281
1/1/2009,49594
4/1/2009,49408
7/1/2009,49473
10/1/2009,49886
1/1/2010,50036
4/1/2010,50424
7/1/2010,50706
10/1/2010,50859
1/1/2011,50646
4/1/2011,50897
7/1/2011,50769
10/1/2011,51232
1/1/2012,51559
4/1/2012,51702
7/1/2012,51684
10/1/2012,51634
1/1/2013,51998
4/1/2013,51982
7/1/2013,52284
10/1/2013,52544
1/1/2014,52266
4/1/2014,52840
7/1/2014,53340
10/1/2014,53464
1/1/2015,53806
4/1/2015,54021
7/1/2015,54081
10/1/2015,54045
1/1/2016,54267
4/1/2016,54334
7/1/2016,54549
10/1/2016,54714
1/1/2017,54889
4/1/2017,55111
7/1/2017,55408
10/1/2017,55835
1/1/2018,56192
4/1/2018,56586
7/1/2018,56770
10/1/2018,56813
1/1/2019,57093
4/1/2019,57480
7/1/2019,57789
10/1/2019,57977
1/1/2020,57165
4/1/2020,52031
7/1/2020,55933
10/1/2020,56533
1/1/2021,57405
4/1/2021,58335
7/1/2021,58619
10/1/2021,59566
